starting slam
[INFO] [1746827972.088807]: [run_auto] Mapping - drive the vehicle, Ctrl-C when done …
est:  [0.7269706080133066, -0.011248236003924494, -0.02427642589167764]
act:  [0.7826980545239195, 0.4932187703691664, 0.01200000000000001]
est:  [0.7397397989276675, -0.011597109770611009, -0.027314729684013866]
act:  [0.8497346924050766, 0.5350289268098036, 0.01200000000000001]
est:  [0.7409670981951806, -0.01164055701016755, -0.03538591185841373]
act:  [0.9249858939937634, 0.5806497187742012, 0.0040000000000000036]
est:  [0.7542856358319621, -0.012218920979259194, -0.04339821993201953]
act:  [1.0057045685274093, 0.6307545646629107, 0.010000000000000231]
est:  [0.7730486017193993, -0.013112890424942018, -0.04760941891180108]
act:  [1.1204466258020482, 0.7038248068438668, -0.0009999999999998899]
est:  [0.8649546241521631, -0.01808992690325055, -0.05410069613081539]
act:  [1.2220250645147028, 0.7677452322859697, -0.0040000000000000036]
est:  [0.9380529994037976, -0.02164067205137697, -0.04853673421400942]
act:  [1.3282158488815363, 0.8356312935618804, 0.0]
est:  [0.9637706340079271, -0.022865081439316592, -0.047573796965538644]
act:  [1.4111631960872475, 0.8859178483408181, 0.0040000000000000036]
est:  [1.0001536115866827, -0.024712007916234742, -0.050719940504510404]
act:  [1.5029985254010403, 0.9427621294060868, 0.007000000000000117]
est:  [1.1485683529143873, -0.03173379517735826, -0.04727667205568965]
act:  [1.5726005451545393, 0.9861275401182379, 0.01100000000000012]
est:  [1.30122704491239, -0.03943013265258879, -0.05037267576668662]
act:  [1.646478201361941, 1.0320850412829112, 0.0]
est:  [1.357055116124414, -0.042300990504293715, -0.05137794095045004]
act:  [1.820742459790941, 1.1400710044178983, 0.01100000000000012]
est:  [1.5201507688371958, -0.05144598473428887, -0.056012702805672616]
act:  [1.9130962071952382, 1.196060158192386, 0.008999999999999897]
est:  [1.7368149074821257, -0.06471073935237961, -0.061146338415679555]
act:  [2.0023661546366895, 1.251349184986141, 0.007000000000000117]
est:  [1.7725385585838425, -0.06724688291256672, -0.07087449199542382]
act:  [2.096766865822824, 1.309748720322923, 0.008000000000000007]
est:  [1.9560035001467215, -0.08057044277549301, -0.07249456533942117]
act:  [2.1706445220302255, 1.3557062214875963, 0.01200000000000001]
est:  [2.131992745968576, -0.09350769058426309, -0.07337959161705987]
act:  [2.2465691420194642, 1.4040741042145641, 0.016999999999999904]
est:  [2.2081334609150924, -0.09886665728977478, -0.07026653273584617]
act:  [2.3247224346807687, 1.4526236958317598, 0.020999999999999908]
est:  [2.361588438628188, -0.10999572015179161, -0.07239656077311248]
act:  [2.3960347090158285, 1.4970259427249202, 0.02300000000000013]
est:  [2.4173157175657805, -0.1144986273371809, -0.08062739782228055]
act:  [2.4564120374609706, 1.5324600817694556, 0.02400000000000002]
est:  [2.4783352863555894, -0.11963203546891857, -0.08392961501115286]
act:  [2.5302896936683723, 1.5784175829341294, 0.02200000000000024]
est:  [2.615770273047965, -0.1319730689391728, -0.08955524233575246]
act:  [2.5904853132232852, 1.61608039465073, 0.019000000000000128]
est:  [2.7578368280311247, -0.14517527552163442, -0.09266359584212759]
act:  [2.6635078421399063, 1.6615194777248994, 0.016000000000000014]
est:  [2.7911309045476926, -0.14850014965527733, -0.09953383294802179]
act:  [2.7254137162763805, 1.7002191256225094, 0.014000000000000234]
est:  [2.7914592627238766, -0.14853243486070591, -0.09800811638056052]
act:  [2.7885114269039115, 1.740810736991909, 0.015000000000000124]
est:  [2.7966490468184153, -0.14895452991531657, -0.08115328514741767]
act:  [2.8523092645121753, 1.7783185483984632, 0.06218530717958615]
est:  [2.8110370391087236, -0.14986703159193274, -0.06333623007636259]
act:  [2.9176623563919524, 1.8132609779326754, 0.08518530717958628]
est:  [2.834146284899432, -0.15062248022141084, -0.03267868209897986]
act:  [2.9828604479616825, 1.8446011894135363, 0.11618530717958642]
est:  [2.8954477577838182, -0.1505294071593852, 0.0015182831036428604]
act:  [3.055781393728618, 1.8747762729835231, 0.16718530717958613]
est:  [3.029873776203939, -0.1429888258232563, 0.056035931380600104]
act:  [3.120851193568481, 1.8966833756856176, 0.2171853071795864]
est:  [3.164354366798794, -0.13016799453741704, 0.09504865427043703]
act:  [3.197582774859177, 1.9186438955480742, 0.2751853071795862]
est:  [3.1940329649374544, -0.12508305697592514, 0.16968589781313276]
act:  [3.269028592095142, 1.9338916888141529, 0.3301853071795864]
est:  [3.291106364758542, -0.1047088380875446, 0.20688173684776953]
act:  [3.3235268638255437, 1.9423733383234918, 0.3751853071795863]
est:  [3.30231742624814, -0.10179904625308706, 0.25394323240578953]
act:  [3.3759781717741086, 1.9484446062705372, 0.41818530717958646]
est:  [3.3727933311988827, -0.07986211118069082, 0.3017626151128565]
act:  [3.4280927705223974, 1.953142328836297, 0.4631853071795864]
est:  [3.447702120861167, -0.053517662040296815, 0.3381769428223774]
act:  [3.4908590231206906, 1.9537728324185641, 0.5181853071795861]
est:  [3.5272600235627216, -0.021112758193835963, 0.38679405494476565]
act:  [3.5399165304863143, 1.9519395372781752, 0.5661853071795862]
est:  [3.6120911267215132, 0.018765351844364512, 0.4394332178593053]
act:  [3.5883006194513865, 1.9473591513752155, -5.665]
est:  [3.7133891439555953, 0.07118554077821679, 0.47753744227186606]
act:  [3.6346377446346207, 1.9403683839099624, -5.6259999999999994]
est:  [3.7160796681106896, 0.07278363039166483, 0.5359735993391821]
act:  [3.6875058875240043, 1.930320525062044, -5.5760000000000005]
est:  [3.759971307813561, 0.10147065171371161, 0.5788929645221886]
act:  [3.7278571216717755, 1.9197008309632593, -5.54]
est:  [3.7989031876312644, 0.12855450199634383, 0.6078159032235217]
act:  [3.76787164661927, 1.9077075914831894, -5.505]
est:  [3.825908689177355, 0.14883571591776082, 0.6441427492562419]
act:  [3.814598898163143, 1.8904285879483882, -5.4670000000000005]
est:  [3.841173280661109, 0.16110858670272216, 0.6771807520355593]
